terrain,level,scenario,passed_m,peak_nm,peak_joint,rms_nm,over8_pct,sat20
stairs,0,forward_mid,1.42,10.3,RL_calf,3.01,0.9,0
stairs,0,forward_fast,2.32,14.2,RL_calf,3.73,5.5,0
stairs,2,forward_mid,1.38,13.2,FR_thigh,3.04,1.1,0
stairs,2,forward_fast,2.26,14.1,RL_calf,3.87,5.3,0
stairs_down,0,forward_mid,1.46,18.3,RL_calf,3.8,4.2,0
stairs_down,0,forward_fast,2.06,20.0,RR_calf,4.98,11.9,2
stairs_down,2,forward_mid,1.52,20.0,RL_calf,4.32,6.0,2
stairs_down,2,forward_fast,1.97,20.0,RL_calf,5.74,14.9,15
boxes,0,forward_mid,1.45,12.0,RL_calf,3.17,1.4,0
boxes,0,forward_fast,2.25,14.2,RL_calf,3.86,4.7,0
boxes,2,forward_mid,1.4,10.9,RL_calf,3.19,1.8,0
boxes,2,forward_fast,2.23,19.9,RL_calf,4.07,6.4,0
random_rough,0,forward_mid,1.42,12.6,RL_calf,3.76,4.2,0
random_rough,0,forward_fast,2.18,17.8,RL_calf,4.74,11.4,0
random_rough,2,forward_mid,1.36,19.8,RL_calf,3.93,4.8,0
random_rough,2,forward_fast,2.2,19.8,RL_calf,4.63,10.0,0
slope_up,0,forward_mid,1.42,10.1,RL_calf,3.15,0.6,0
slope_up,0,forward_fast,2.25,14.1,RL_calf,3.83,4.9,0
slope_up,2,forward_mid,1.42,11.2,RL_calf,3.12,0.7,0
slope_up,2,forward_fast,2.24,14.5,RL_calf,3.77,4.3,0
slope_down,0,forward_mid,1.42,11.8,RL_calf,3.12,0.5,0
slope_down,0,forward_fast,2.25,14.2,RL_calf,3.89,5.1,0
slope_down,2,forward_mid,1.43,11.8,RL_calf,3.13,0.9,0
slope_down,2,forward_fast,2.25,17.0,RL_calf,4.22,7.0,0
