time_s,segment,body,x_m,y_m,z_m
0.000000,0,FL_foot,0.24780178,0.19358142,0.02014171
0.000000,0,FR_foot,0.22555758,-0.25329512,0.02033277
0.000000,0,RL_foot,-0.15206595,0.21612467,0.02103681
0.000000,0,RR_foot,-0.19706483,-0.22886650,0.02035467
0.020000,0,FL_foot,0.24475737,0.19238858,0.02022730
0.020000,0,FR_foot,0.21936499,-0.24406995,0.02272328
0.020000,0,RL_foot,-0.16076857,0.20433736,0.02210394
0.020000,0,RR_foot,-0.20021032,-0.22752583,0.02022222
0.040000,0,FL_foot,0.24481454,0.19232941,0.02022291
0.040000,0,FR_foot,0.21902242,-0.24156217,0.02335775
0.040000,0,RL_foot,-0.16037121,0.20050801,0.02284341
0.040000,0,RR_foot,-0.20017387,-0.22757249,0.02021352
0.060000,0,FL_foot,0.24484488,0.19229870,0.02022244
0.060000,0,FR_foot,0.21824571,-0.24143505,0.02292789
0.060000,0,RL_foot,-0.15837370,0.19823250,0.02380853
0.060000,0,RR_foot,-0.20014027,-0.22759952,0.02020864
0.080000,0,FL_foot,0.24487948,0.19225398,0.02022178
0.080000,0,FR_foot,0.21693125,-0.24176574,0.02211563
0.080000,0,RL_foot,-0.15535693,0.19589989,0.02512201
0.080000,0,RR_foot,-0.20010732,-0.22764027,0.02020936
0.100000,0,FL_foot,0.24491037,0.19222079,0.02022136
0.100000,0,FR_foot,0.21545590,-0.24211225,0.02109911
0.100000,0,RL_foot,-0.15200721,0.19367729,0.02666078
0.100000,0,RR_foot,-0.20006593,-0.22765854,0.02020798
0.120000,0,FL_foot,0.24495035,0.19217308,0.02022717
0.120000,0,FR_foot,0.21441731,-0.24229813,0.02021185
0.120000,0,RL_foot,-0.14879590,0.19176477,0.02813152
0.120000,0,RR_foot,-0.20003213,-0.22772127,0.02024597
0.140000,0,FL_foot,0.24499232,0.19210488,0.02022336
0.140000,0,FR_foot,0.21441300,-0.24237008,0.02022346
0.140000,0,RL_foot,-0.14561966,0.19030663,0.02859221
0.140000,0,RR_foot,-0.20002559,-0.22771473,0.02020902
0.160000,0,FL_foot,0.24503723,0.19203113,0.02022194
0.160000,0,FR_foot,0.21441016,-0.24243435,0.02022441
0.160000,0,RL_foot,-0.14298643,0.18900080,0.02906656
0.160000,0,RR_foot,-0.20002092,-0.22775416,0.02020851
0.180000,0,FL_foot,0.24508141,0.19195981,0.02022098
0.180000,0,FR_foot,0.21440573,-0.24249353,0.02022374
0.180000,0,RL_foot,-0.14074369,0.18779294,0.02951341
0.180000,0,RR_foot,-0.20001733,-0.22779091,0.02020780
0.200000,0,FL_foot,0.24511707,0.19190182,0.02022071
0.200000,0,FR_foot,0.21440254,-0.24255201,0.02022315
0.200000,0,RL_foot,-0.13877565,0.18665339,0.02993788
0.200000,0,RR_foot,-0.20000944,-0.22780681,0.02020781
0.220000,0,FL_foot,0.24515577,0.19183794,0.02022005
0.220000,0,FR_foot,0.21439753,-0.24260598,0.02022259
0.220000,0,RL_foot,-0.13701637,0.18559188,0.03033702
0.220000,0,RR_foot,-0.20000726,-0.22783881,0.02020738
0.240000,0,FL_foot,0.24518740,0.19178706,0.02021949
0.240000,0,FR_foot,0.21439323,-0.24265473,0.02022377
0.240000,0,RL_foot,-0.13544030,0.18459333,0.03071371
0.240000,0,RR_foot,-0.20000462,-0.22786765,0.02020731
0.260000,0,FL_foot,0.24522075,0.19173305,0.02021887
0.260000,0,FR_foot,0.21438973,-0.24270178,0.02022196
0.260000,0,RL_foot,-0.13402203,0.18366468,0.03106635
0.260000,0,RR_foot,-0.20000151,-0.22789244,0.02020690
0.280000,0,FL_foot,0.24524646,0.19169179,0.02021824
0.280000,0,FR_foot,0.21438567,-0.24274099,0.02022168
0.280000,0,RL_foot,-0.13274606,0.18282270,0.03138697
0.280000,0,RR_foot,-0.19999585,-0.22789568,0.02020636
0.300000,0,FL_foot,0.24527006,0.19165708,0.02021839
0.300000,0,FR_foot,0.21438399,-0.24277730,0.02022042
0.300000,0,RL_foot,-0.13160488,0.18206832,0.03168055
0.300000,0,RR_foot,-0.19999304,-0.22791331,0.02020519
0.320000,0,FL_foot,0.24529482,0.19161823,0.02021755
0.320000,0,FR_foot,0.21438159,-0.24280682,0.02022118
0.320000,0,RL_foot,-0.13058718,0.18140186,0.03194208
0.320000,0,RR_foot,-0.19999003,-0.22792900,0.02020606
0.340000,0,FL_foot,0.24531241,0.19159286,0.02021720
0.340000,0,FR_foot,0.21438019,-0.24283049,0.02022096
0.340000,0,RL_foot,-0.12968558,0.18081529,0.03217616
0.340000,0,RR_foot,-0.19998652,-0.22794069,0.02020589
0.360000,0,FL_foot,0.24532756,0.19157268,0.02021699
0.360000,0,FR_foot,0.21438001,-0.24284971,0.02022083
0.360000,0,RL_foot,-0.12888157,0.18032129,0.03237797
0.360000,0,RR_foot,-0.19998297,-0.22794946,0.02020563
0.380000,0,FL_foot,0.24534564,0.19154966,0.02021639
0.380000,0,FR_foot,0.21438076,-0.24286415,0.02022056
0.380000,0,RL_foot,-0.12816700,0.17991276,0.03254870
0.380000,0,RR_foot,-0.19997910,-0.22795516,0.02020530
0.400000,0,FL_foot,0.24535564,0.19153926,0.02021640
0.400000,0,FR_foot,0.21438301,-0.24287695,0.02022059
0.400000,0,RL_foot,-0.12753609,0.17958237,0.03269361
0.400000,0,RR_foot,-0.19997458,-0.22795802,0.02020548
0.420000,0,FL_foot,0.24536422,0.19153260,0.02021657
0.420000,0,FR_foot,0.21438578,-0.24288301,0.02022047
0.420000,0,RL_foot,-0.12698089,0.17932905,0.03281101
0.420000,0,RR_foot,-0.19997001,-0.22795799,0.02020500
0.440000,0,FL_foot,0.24537523,0.19150671,0.02020294
0.440000,0,FR_foot,0.21549250,-0.24417464,0.02146120
0.440000,0,RL_foot,-0.12990895,0.17832892,0.03134323
0.440000,0,RR_foot,-0.19999810,-0.22796689,0.02018163
0.460000,0,FL_foot,0.24547084,0.19145757,0.02020500
0.460000,0,FR_foot,0.22293133,-0.24932930,0.02342138
0.460000,0,RL_foot,-0.13619851,0.17751557,0.02800392
0.460000,0,RR_foot,-0.20000176,-0.22797583,0.02018465
0.480000,0,FL_foot,0.24559097,0.19141461,0.02020948
0.480000,0,FR_foot,0.23703231,-0.25553128,0.02613036
0.480000,0,RL_foot,-0.14329909,0.17759424,0.02376113
0.480000,0,RR_foot,-0.19998774,-0.22801636,0.02019032
0.500000,0,FL_foot,0.24562952,0.19145092,0.02028972
0.500000,0,FR_foot,0.25483751,-0.26075459,0.02924914
0.500000,0,RL_foot,-0.14767161,0.17764191,0.02013152
0.500000,0,RR_foot,-0.19995709,-0.22805537,0.02019466
0.520000,0,FL_foot,0.24514881,0.19244763,0.02020491
0.520000,0,FR_foot,0.27220547,-0.26328120,0.03057762
0.520000,0,RL_foot,-0.14808001,0.17375296,0.02087615
0.520000,0,RR_foot,-0.19979976,-0.22795571,0.02019475
0.540000,0,FL_foot,0.24532922,0.19243133,0.02020279
0.540000,0,FR_foot,0.28855434,-0.26671210,0.03229444
0.540000,0,RL_foot,-0.14676203,0.17035264,0.02091818
0.540000,0,RR_foot,-0.19962907,-0.22790933,0.02019196
0.560000,0,FL_foot,0.24552327,0.19241254,0.02020198
0.560000,0,FR_foot,0.30399603,-0.27045283,0.03395646
0.560000,0,RL_foot,-0.14364479,0.16773231,0.02074978
0.560000,0,RR_foot,-0.19943602,-0.22788016,0.02019434
0.580000,0,FL_foot,0.24573363,0.19238757,0.02020034
0.580000,0,FR_foot,0.31759861,-0.27392495,0.03518328
0.580000,0,RL_foot,-0.13927045,0.16533619,0.02086662
0.580000,0,RR_foot,-0.19922175,-0.22784859,0.02019204
0.600000,0,FL_foot,0.24596375,0.19234379,0.02019709
0.600000,0,FR_foot,0.32864150,-0.27710778,0.03560180
0.600000,0,RL_foot,-0.13407573,0.16299732,0.02142716
0.600000,0,RR_foot,-0.19898023,-0.22781602,0.02019100
0.620000,0,FL_foot,0.24620312,0.19230330,0.02019172
0.620000,0,FR_foot,0.33698854,-0.27998459,0.03496122
0.620000,0,RL_foot,-0.12838763,0.16091394,0.02237161
0.620000,0,RR_foot,-0.19870831,-0.22778164,0.02018412
