time_s,segment,body,x_m,y_m,z_m
0.000000,0,FL_2,0.25695866,0.19500022,0.05937361
0.000000,0,FR_2,0.23416296,-0.25561067,0.05964667
0.000000,0,RL_2,-0.14478958,0.21722567,0.06067065
0.000000,0,RR_2,-0.18830325,-0.23125611,0.05962965
0.020000,0,FL_2,0.25363293,0.19258799,0.05937431
0.020000,0,FR_2,0.22597522,-0.25195622,0.05951066
0.020000,0,RL_2,-0.15387033,0.21358177,0.06020229
0.020000,0,RR_2,-0.19287011,-0.22846043,0.05931418
0.040000,0,FL_2,0.25366408,0.19261084,0.05936180
0.040000,0,FR_2,0.22629166,-0.25207633,0.05932080
0.040000,0,RL_2,-0.15563542,0.20930824,0.06010101
0.040000,0,RR_2,-0.19113769,-0.22596906,0.05920929
0.060000,0,FL_2,0.25362998,0.19266170,0.05939677
0.060000,0,FR_2,0.22750655,-0.25266936,0.05928002
0.060000,0,RL_2,-0.15568310,0.20884097,0.05964650
0.060000,0,RR_2,-0.19137390,-0.22662516,0.05935313
0.080000,0,FL_2,0.25347093,0.19281207,0.05935833
0.080000,0,FR_2,0.22759242,-0.25288430,0.05924905
0.080000,0,RL_2,-0.15548609,0.20869187,0.05962606
0.080000,0,RR_2,-0.19123782,-0.22693522,0.05931997
0.100000,0,FL_2,0.25373149,0.19259706,0.05930677
0.100000,0,FR_2,0.22760551,-0.25314915,0.05923028
0.100000,0,RL_2,-0.15530935,0.20860575,0.05963698
0.100000,0,RR_2,-0.19115287,-0.22708711,0.05925550
0.120000,0,FL_2,0.25389630,0.19244300,0.05928287
0.120000,0,FR_2,0.22769655,-0.25336295,0.05919729
0.120000,0,RL_2,-0.15513472,0.20846367,0.05959749
0.120000,0,RR_2,-0.19107753,-0.22729290,0.05924014
0.140000,0,FL_2,0.25408727,0.19228083,0.05924943
0.140000,0,FR_2,0.22775933,-0.25357765,0.05916903
0.140000,0,RL_2,-0.15496518,0.20835334,0.05957333
0.140000,0,RR_2,-0.19099875,-0.22746412,0.05920570
0.160000,0,FL_2,0.25426126,0.19212641,0.05921438
0.160000,0,FR_2,0.22781906,-0.25378194,0.05913969
0.160000,0,RL_2,-0.15479499,0.20824341,0.05955040
0.160000,0,RR_2,-0.19091719,-0.22762854,0.05917607
0.180000,0,FL_2,0.25443190,0.19198705,0.05918103
0.180000,0,FR_2,0.22787525,-0.25396645,0.05911281
0.180000,0,RL_2,-0.15464529,0.20814911,0.05952834
0.180000,0,RR_2,-0.19084451,-0.22777492,0.05914596
0.200000,0,FL_2,0.25457725,0.19186728,0.05915247
0.200000,0,FR_2,0.22794177,-0.25412944,0.05908551
0.200000,0,RL_2,-0.15449965,0.20805982,0.05950360
0.200000,0,RR_2,-0.19077535,-0.22791220,0.05912187
0.220000,0,FL_2,0.25471362,0.19176014,0.05912381
0.220000,0,FR_2,0.22799473,-0.25427550,0.05906206
0.220000,0,RL_2,-0.15437317,0.20798925,0.05948451
0.220000,0,RR_2,-0.19070950,-0.22802645,0.05909511
0.240000,0,FL_2,0.25484425,0.19167461,0.05909773
0.240000,0,FR_2,0.22804734,-0.25439462,0.05904062
0.240000,0,RL_2,-0.15426195,0.20793456,0.05946602
0.240000,0,RR_2,-0.19064616,-0.22812058,0.05907249
0.260000,0,FL_2,0.25494391,0.19160922,0.05907608
0.260000,0,FR_2,0.22810091,-0.25449216,0.05902003
0.260000,0,RL_2,-0.15415570,0.20788722,0.05944603
0.260000,0,RR_2,-0.19058128,-0.22820219,0.05905553
0.280000,0,FL_2,0.25503874,0.19155397,0.05905488
0.280000,0,FR_2,0.22814696,-0.25457528,0.05900325
0.280000,0,RL_2,-0.15406838,0.20785688,0.05943208
0.280000,0,RR_2,-0.19052546,-0.22826388,0.05903558
0.300000,0,FL_2,0.25511774,0.19151780,0.05903731
0.300000,0,FR_2,0.22819312,-0.25463614,0.05898789
0.300000,0,RL_2,-0.15399358,0.20783736,0.05941826
0.300000,0,RR_2,-0.19047290,-0.22831097,0.05902016
0.320000,0,FL_2,0.25518069,0.19150023,0.05902300
0.320000,0,FR_2,0.22823894,-0.25467536,0.05897450
0.320000,0,RL_2,-0.15393211,0.20783027,0.05940577
0.320000,0,RR_2,-0.19042483,-0.22834221,0.05900858
0.340000,0,FL_2,0.25523221,0.19149843,0.05901118
0.340000,0,FR_2,0.22828951,-0.25469527,0.05896253
0.340000,0,RL_2,-0.15388390,0.20783724,0.05939642
0.340000,0,RR_2,-0.19037926,-0.22835574,0.05899762
0.360000,0,FL_2,0.25526795,0.19151165,0.05900246
0.360000,0,FR_2,0.22833040,-0.25469723,0.05895450
0.360000,0,RL_2,-0.15384677,0.20785424,0.05938786
0.360000,0,RR_2,-0.19033903,-0.22835599,0.05899109
0.380000,0,FL_2,0.25529525,0.19153446,0.05899580
0.380000,0,FR_2,0.22836591,-0.25468653,0.05894845
0.380000,0,RL_2,-0.15382059,0.20788018,0.05938230
0.380000,0,RR_2,-0.19030242,-0.22834395,0.05898499
0.400000,0,FL_2,0.25531131,0.19156583,0.05899150
0.400000,0,FR_2,0.22839825,-0.25466466,0.05894391
0.400000,0,RL_2,-0.15380371,0.20791094,0.05937783
0.400000,0,RR_2,-0.19027063,-0.22832383,0.05898130
0.420000,0,FL_2,0.25531900,0.19160195,0.05898909
0.420000,0,FR_2,0.22842629,-0.25463536,0.05894122
0.420000,0,RL_2,-0.15379500,0.20794517,0.05937479
0.420000,0,RR_2,-0.19024420,-0.22829770,0.05897922
0.440000,0,FL_2,0.25532201,0.19164264,0.05898724
0.440000,0,FR_2,0.22844934,-0.25459963,0.05894014
0.440000,0,RL_2,-0.15378349,0.20798431,0.05937292
0.440000,0,RR_2,-0.19021356,-0.22826339,0.05897663
0.460000,0,FL_2,0.25531706,0.19168609,0.05898806
0.460000,0,FR_2,0.22847466,-0.25456044,0.05893828
0.460000,0,RL_2,-0.15378380,0.20801897,0.05936999
0.460000,0,RR_2,-0.19019391,-0.22823326,0.05897842
0.480000,0,FL_2,0.25531307,0.19172351,0.05898812
0.480000,0,FR_2,0.22849207,-0.25452572,0.05893829
0.480000,0,RL_2,-0.15378717,0.20805341,0.05936997
0.480000,0,RR_2,-0.19017741,-0.22820213,0.05897805
0.500000,0,FL_2,0.25530756,0.19175614,0.05898876
0.500000,0,FR_2,0.22850543,-0.25449458,0.05893872
0.500000,0,RL_2,-0.15379208,0.20808244,0.05937011
0.500000,0,RR_2,-0.19016494,-0.22817491,0.05897840
0.520000,0,FL_2,0.25530005,0.19178315,0.05899005
0.520000,0,FR_2,0.22851530,-0.25446820,0.05893910
0.520000,0,RL_2,-0.15379809,0.20810533,0.05937012
0.520000,0,RR_2,-0.19015728,-0.22815283,0.05897981
0.540000,0,FL_2,0.25529292,0.19180298,0.05899135
0.540000,0,FR_2,0.22852035,-0.25444806,0.05894005
0.540000,0,RL_2,-0.15380429,0.20812255,0.05937098
0.540000,0,RR_2,-0.19015302,-0.22813518,0.05898053
0.560000,0,FL_2,0.25528571,0.19181614,0.05899271
0.560000,0,FR_2,0.22852185,-0.25443381,0.05894111
0.560000,0,RL_2,-0.15381101,0.20813340,0.05937184
0.560000,0,RR_2,-0.19015232,-0.22812338,0.05898160
0.580000,0,FL_2,0.25527889,0.19182263,0.05899400
0.580000,0,FR_2,0.22851962,-0.25442573,0.05894222
0.580000,0,RL_2,-0.15381695,0.20813806,0.05937272
0.580000,0,RR_2,-0.19015509,-0.22811669,0.05898287
0.600000,0,FL_2,0.25527310,0.19182318,0.05899556
0.600000,0,FR_2,0.22851443,-0.25442308,0.05894366
0.600000,0,RL_2,-0.15382287,0.20813799,0.05937419
0.600000,0,RR_2,-0.19016004,-0.22811469,0.05898390
0.620000,0,FL_2,0.25526798,0.19181858,0.05899662
0.620000,0,FR_2,0.22850727,-0.25442520,0.05894489
0.620000,0,RL_2,-0.15382820,0.20813297,0.05937532
0.620000,0,RR_2,-0.19016705,-0.22811699,0.05898497
0.640000,0,FL_2,0.25526360,0.19181015,0.05899784
0.640000,0,FR_2,0.22849877,-0.25443134,0.05894607
0.640000,0,RL_2,-0.15383255,0.20812476,0.05937653
0.640000,0,RR_2,-0.19017567,-0.22812244,0.05898594
0.660000,0,FL_2,0.25526002,0.19179851,0.05899902
0.660000,0,FR_2,0.22848922,-0.25444034,0.05894727
0.660000,0,RL_2,-0.15383616,0.20811391,0.05937777
0.660000,0,RR_2,-0.19018495,-0.22813031,0.05898688
0.680000,0,FL_2,0.25525770,0.19178544,0.05899982
0.680000,0,FR_2,0.22847913,-0.25445110,0.05894825
0.680000,0,RL_2,-0.15383919,0.20810145,0.05937891
0.680000,0,RR_2,-0.19019455,-0.22814010,0.05898756
0.700000,0,FL_2,0.25525567,0.19177134,0.05900030
0.700000,0,FR_2,0.22846916,-0.25446284,0.05894907
0.700000,0,RL_2,-0.15384156,0.20808853,0.05937983
0.700000,0,RR_2,-0.19020388,-0.22815029,0.05898811
0.720000,0,FL_2,0.25525430,0.19175753,0.05900125
0.720000,0,FR_2,0.22845992,-0.25447461,0.05894991
0.720000,0,RL_2,-0.15384325,0.20807588,0.05938064
0.720000,0,RR_2,-0.19021243,-0.22816065,0.05898849
0.740000,0,FL_2,0.25525337,0.19174451,0.05900156
0.740000,0,FR_2,0.22845155,-0.25448570,0.05895051
0.740000,0,RL_2,-0.15384457,0.20806411,0.05938139
0.740000,0,RR_2,-0.19022024,-0.22817035,0.05898890
0.760000,0,FL_2,0.25525269,0.19173312,0.05900197
0.760000,0,FR_2,0.22844444,-0.25449550,0.05895098
0.760000,0,RL_2,-0.15384576,0.20805371,0.05938202
0.760000,0,RR_2,-0.19022669,-0.22817914,0.05898924
0.780000,0,FL_2,0.25525224,0.19172384,0.05900220
0.780000,0,FR_2,0.22843860,-0.25450376,0.05895135
0.780000,0,RL_2,-0.15384626,0.20804513,0.05938251
0.780000,0,RR_2,-0.19023235,-0.22818637,0.05898962
0.800000,0,FL_2,0.25525188,0.19171663,0.05900244
0.800000,0,FR_2,0.22843429,-0.25450993,0.05895181
0.800000,0,RL_2,-0.15384674,0.20803857,0.05938277
0.800000,0,RR_2,-0.19023645,-0.22819181,0.05898987
0.820000,0,FL_2,0.25525171,0.19171177,0.05900257
0.820000,0,FR_2,0.22843121,-0.25451425,0.05895201
0.820000,0,RL_2,-0.15384731,0.20803398,0.05938282
0.820000,0,RR_2,-0.19023916,-0.22819552,0.05899002
0.840000,0,FL_2,0.25525168,0.19170927,0.05900279
0.840000,0,FR_2,0.22842968,-0.25451642,0.05895203
0.840000,0,RL_2,-0.15384732,0.20803161,0.05938314
0.840000,0,RR_2,-0.19024089,-0.22819754,0.05899010
0.860000,0,FL_2,0.25525144,0.19170853,0.05900272
0.860000,0,FR_2,0.22842917,-0.25451705,0.05895212
0.860000,0,RL_2,-0.15384750,0.20803101,0.05938303
0.860000,0,RR_2,-0.19024140,-0.22819793,0.05899002
0.880000,0,FL_2,0.25525120,0.19170965,0.05900281
0.880000,0,FR_2,0.22842953,-0.25451586,0.05895210
0.880000,0,RL_2,-0.15384774,0.20803197,0.05938319
0.880000,0,RR_2,-0.19024101,-0.22819710,0.05899005
0.900000,0,FL_2,0.25525108,0.19171214,0.05900284
0.900000,0,FR_2,0.22843088,-0.25451362,0.05895204
0.900000,0,RL_2,-0.15384789,0.20803407,0.05938305
0.900000,0,RR_2,-0.19024001,-0.22819513,0.05899015
0.920000,0,FL_2,0.25525087,0.19171572,0.05900294
0.920000,0,FR_2,0.22843274,-0.25451046,0.05895195
0.920000,0,RL_2,-0.15384799,0.20803720,0.05938299
0.920000,0,RR_2,-0.19023806,-0.22819239,0.05899017
0.940000,0,FL_2,0.25525060,0.19171993,0.05900287
0.940000,0,FR_2,0.22843492,-0.25450659,0.05895199
0.940000,0,RL_2,-0.15384801,0.20804103,0.05938288
0.940000,0,RR_2,-0.19023620,-0.22818901,0.05899024
0.960000,0,FL_2,0.25525022,0.19172445,0.05900258
0.960000,0,FR_2,0.22843757,-0.25450245,0.05895182
0.960000,0,RL_2,-0.15384814,0.20804495,0.05938251
0.960000,0,RR_2,-0.19023390,-0.22818574,0.05899023
0.980000,0,FL_2,0.25525019,0.19172882,0.05900276
0.980000,0,FR_2,0.22843993,-0.25449839,0.05895170
0.980000,0,RL_2,-0.15384804,0.20804903,0.05938257
0.980000,0,RR_2,-0.19023161,-0.22818211,0.05899021
1.000000,0,FL_2,0.25525007,0.19173311,0.05900272
1.000000,0,FR_2,0.22844225,-0.25449473,0.05895163
1.000000,0,RL_2,-0.15384796,0.20805283,0.05938228
1.000000,0,RR_2,-0.19022946,-0.22817874,0.05899010
1.020000,0,FL_2,0.25525013,0.19173683,0.05900251
1.020000,0,FR_2,0.22844446,-0.25449136,0.05895146
1.020000,0,RL_2,-0.15384798,0.20805624,0.05938219
1.020000,0,RR_2,-0.19022757,-0.22817597,0.05898998
1.040000,0,FL_2,0.25525019,0.19173999,0.05900253
1.040000,0,FR_2,0.22844633,-0.25448868,0.05895126
1.040000,0,RL_2,-0.15384769,0.20805900,0.05938198
1.040000,0,RR_2,-0.19022575,-0.22817363,0.05898996
1.060000,0,FL_2,0.25525036,0.19174238,0.05900244
1.060000,0,FR_2,0.22844791,-0.25448659,0.05895125
1.060000,0,RL_2,-0.15384756,0.20806117,0.05938193
1.060000,0,RR_2,-0.19022427,-0.22817181,0.05898988
1.080000,0,FL_2,0.25525057,0.19174391,0.05900243
1.080000,0,FR_2,0.22844885,-0.25448519,0.05895098
1.080000,0,RL_2,-0.15384702,0.20806272,0.05938192
1.080000,0,RR_2,-0.19022325,-0.22817054,0.05898964
1.100000,0,FL_2,0.25525102,0.19174480,0.05900228
1.100000,0,FR_2,0.22844982,-0.25448453,0.05895095
1.100000,0,RL_2,-0.15384689,0.20806341,0.05938180
1.100000,0,RR_2,-0.19022249,-0.22816998,0.05898971
1.120000,0,FL_2,0.25525123,0.19174506,0.05900225
1.120000,0,FR_2,0.22845007,-0.25448444,0.05895089
1.120000,0,RL_2,-0.15384649,0.20806380,0.05938169
1.120000,0,RR_2,-0.19022198,-0.22816992,0.05898955
1.140000,0,FL_2,0.25525168,0.19174460,0.05900200
1.140000,0,FR_2,0.22845039,-0.25448516,0.05895087
1.140000,0,RL_2,-0.15384614,0.20806350,0.05938153
1.140000,0,RR_2,-0.19022170,-0.22817022,0.05898951
1.160000,0,FL_2,0.25525221,0.19174381,0.05900200
1.160000,0,FR_2,0.22845010,-0.25448588,0.05895086
1.160000,0,RL_2,-0.15384565,0.20806281,0.05938153
1.160000,0,RR_2,-0.19022182,-0.22817102,0.05898947
1.180000,0,FL_2,0.25525254,0.19174263,0.05900185
1.180000,0,FR_2,0.22844994,-0.25448716,0.05895071
1.180000,0,RL_2,-0.15384534,0.20806175,0.05938140
1.180000,0,RR_2,-0.19022208,-0.22817209,0.05898945
1.200000,0,FL_2,0.25525302,0.19174124,0.05900187
1.200000,0,FR_2,0.22844946,-0.25448853,0.05895060
1.200000,0,RL_2,-0.15384498,0.20806070,0.05938153
1.200000,0,RR_2,-0.19022235,-0.22817312,0.05898922
1.220000,0,FL_2,0.25525352,0.19173965,0.05900173
1.220000,0,FR_2,0.22844891,-0.25448999,0.05895056
1.220000,0,RL_2,-0.15384468,0.20805949,0.05938146
1.220000,0,RR_2,-0.19022273,-0.22817443,0.05898924
1.240000,0,FL_2,0.25525364,0.19173805,0.05900148
1.240000,0,FR_2,0.22844841,-0.25449142,0.05895062
1.240000,0,RL_2,-0.15384445,0.20805807,0.05938141
1.240000,0,RR_2,-0.19022337,-0.22817582,0.05898942
1.260000,0,FL_2,0.25525415,0.19173685,0.05900163
1.260000,0,FR_2,0.22844790,-0.25449279,0.05895049
1.260000,0,RL_2,-0.15384409,0.20805700,0.05938154
1.260000,0,RR_2,-0.19022366,-0.22817671,0.05898908
1.280000,0,FL_2,0.25525427,0.19173555,0.05900155
1.280000,0,FR_2,0.22844756,-0.25449401,0.05895052
1.280000,0,RL_2,-0.15384394,0.20805584,0.05938141
1.280000,0,RR_2,-0.19022420,-0.22817792,0.05898916
1.300000,0,FL_2,0.25525439,0.19173449,0.05900150
1.300000,0,FR_2,0.22844696,-0.25449491,0.05895075
1.300000,0,RL_2,-0.15384376,0.20805483,0.05938149
1.300000,0,RR_2,-0.19022466,-0.22817883,0.05898938
1.320000,0,FL_2,0.25525466,0.19173385,0.05900154
1.320000,0,FR_2,0.22844666,-0.25449568,0.05895061
1.320000,0,RL_2,-0.15384367,0.20805424,0.05938155
