time_s,segment,body,x_m,y_m,z_m
0.000000,0,FL_2,0.00001589,0.15770154,0.06757849
0.000000,0,FR_2,0.00002416,-0.29419219,0.06757541
0.000000,0,RL_2,-0.42198399,0.15770151,0.06757855
0.000000,0,RR_2,-0.42197573,-0.29419214,0.06757547
0.020000,0,FL_2,-0.00117895,0.15883103,0.06735218
0.020000,0,FR_2,-0.00087424,-0.29270107,0.06788987
0.020000,0,RL_2,-0.42057475,0.15696943,0.06773272
0.020000,0,RR_2,-0.42115265,-0.29636857,0.06714544
0.040000,0,FL_2,-0.00489735,0.16145657,0.06687847
0.040000,0,FR_2,-0.00284516,-0.28951788,0.06861702
0.040000,0,RL_2,-0.41663003,0.15465719,0.06826267
0.040000,0,RR_2,-0.41948739,-0.30038759,0.06643872
0.060000,0,FL_2,-0.01134229,0.16537315,0.06632985
0.060000,0,FR_2,-0.00544481,-0.28536874,0.06968030
0.060000,0,RL_2,-0.41021797,0.15076348,0.06929693
0.060000,0,RR_2,-0.41718200,-0.30529675,0.06573124
0.080000,0,FL_2,-0.02002478,0.17016920,0.06595082
0.080000,0,FR_2,-0.00829450,-0.28079921,0.07100371
0.080000,0,RL_2,-0.40207827,0.14567463,0.07090349
0.080000,0,RR_2,-0.41439083,-0.31057605,0.06516450
0.100000,0,FL_2,-0.03020347,0.17537214,0.06595404
0.100000,0,FR_2,-0.01116190,-0.27607548,0.07254036
0.100000,0,RL_2,-0.39316255,0.13986082,0.07306772
0.100000,0,RR_2,-0.41123828,-0.31598979,0.06479688
0.120000,0,FL_2,-0.04116104,0.18058981,0.06645559
0.120000,0,FR_2,-0.01392625,-0.27131358,0.07426344
0.120000,0,RL_2,-0.38428056,0.13374485,0.07568999
0.120000,0,RR_2,-0.40782923,-0.32144806,0.06464931
0.140000,0,FL_2,-0.05142749,0.18613257,0.06736273
0.140000,0,FR_2,-0.01557297,-0.26700968,0.07595383
0.140000,0,RL_2,-0.37692064,0.12737188,0.07866767
0.140000,0,RR_2,-0.40528190,-0.32647777,0.06468655
0.160000,0,FL_2,-0.06084441,0.19118233,0.06863197
0.160000,0,FR_2,-0.01652559,-0.26242250,0.07789585
0.160000,0,RL_2,-0.37079409,0.12159330,0.08162327
0.160000,0,RR_2,-0.40331483,-0.33184880,0.06489307
0.180000,0,FL_2,-0.06868706,0.19639848,0.07008642
0.180000,0,FR_2,-0.01615642,-0.25823730,0.07978562
0.180000,0,RL_2,-0.36654150,0.11605272,0.08458222
0.180000,0,RR_2,-0.40271831,-0.33704808,0.06522017
0.200000,0,FL_2,-0.07552955,0.20099577,0.07167544
0.200000,0,FR_2,-0.01539138,-0.25365186,0.08201933
0.200000,0,RL_2,-0.36304730,0.11128467,0.08730787
0.200000,0,RR_2,-0.40274182,-0.34285584,0.06576234
0.220000,0,FL_2,-0.08139865,0.20567907,0.07338466
0.220000,0,FR_2,-0.01402777,-0.24944249,0.08422319
0.220000,0,RL_2,-0.36046779,0.10662711,0.09007742
0.220000,0,RR_2,-0.40362880,-0.34864187,0.06648210
0.240000,0,FL_2,-0.08708950,0.20986748,0.07525375
0.240000,0,FR_2,-0.01294931,-0.24500230,0.08673693
0.240000,0,RL_2,-0.35777482,0.10234941,0.09280060
0.240000,0,RR_2,-0.40454602,-0.35487732,0.06750938
0.260000,0,FL_2,-0.09232644,0.21448874,0.07735578
0.260000,0,FR_2,-0.01145025,-0.24117695,0.08905201
0.260000,0,RL_2,-0.35572168,0.09784251,0.09577315
0.260000,0,RR_2,-0.40607652,-0.36073142,0.06868657
0.280000,0,FL_2,-0.09772213,0.21872862,0.07968432
0.280000,0,FR_2,-0.01031797,-0.23710713,0.09169009
0.280000,0,RL_2,-0.35339984,0.09364136,0.09872940
0.280000,0,RR_2,-0.40746590,-0.36687303,0.07019049
0.300000,0,FL_2,-0.10429092,0.22232518,0.08244035
0.300000,0,FR_2,-0.01027477,-0.23305047,0.09451077
0.300000,0,RL_2,-0.35014087,0.08937493,0.10194460
0.300000,0,RR_2,-0.40767571,-0.37330362,0.07210589
