time_s,segment,body,x_m,y_m,z_m
0.000000,0,RR_2,-0.42197573,-0.29419214,0.06757547
0.020000,0,RR_2,-0.42115265,-0.29636857,0.06714544
0.040000,0,RR_2,-0.41948739,-0.30038759,0.06643872
0.060000,0,RR_2,-0.41855469,-0.30467951,0.06580202
0.080000,0,RR_2,-0.41835579,-0.30962583,0.06521286
0.100000,0,RR_2,-0.41852424,-0.31508487,0.06474386
0.120000,0,RR_2,-0.41877213,-0.32086569,0.06445581
0.140000,0,RR_2,-0.41893262,-0.32674459,0.06438336
0.160000,0,RR_2,-0.41892979,-0.33261964,0.06453332
0.180000,0,RR_2,-0.41876221,-0.33844164,0.06490232
0.200000,0,RR_2,-0.41845521,-0.34421870,0.06548727
0.220000,0,RR_2,-0.41798863,-0.34999493,0.06629315
0.240000,0,RR_2,-0.41716188,-0.35586309,0.06734528
0.260000,0,RR_2,-0.41561300,-0.36187118,0.06867918
0.280000,0,RR_2,-0.41358605,-0.36767849,0.07022783
0.300000,0,RR_2,-0.41146287,-0.37323147,0.07195425
0.320000,0,RR_2,-0.40916696,-0.37600729,0.07295054
0.340000,0,RR_2,-0.40552604,-0.37529239,0.07285403
0.360000,0,RR_2,-0.40145224,-0.37340957,0.07243656
0.380000,0,RR_2,-0.39720085,-0.37087250,0.07189722
0.400000,0,RR_2,-0.39300206,-0.36859477,0.07152002
0.420000,0,RR_2,-0.38875633,-0.36607268,0.07115932
0.440000,0,RR_2,-0.38460287,-0.36327550,0.07080548
0.460000,0,RR_2,-0.38040867,-0.36021474,0.07048615
0.480000,0,RR_2,-0.37638706,-0.35730028,0.07027974
0.500000,0,RR_2,-0.37229910,-0.35404742,0.07010538
0.520000,0,RR_2,-0.36846179,-0.35089219,0.07001747
0.540000,0,RR_2,-0.36449718,-0.34758660,0.07001732
0.560000,0,RR_2,-0.36087292,-0.34393424,0.07001738
0.580000,0,RR_2,-0.35708666,-0.34010541,0.07013012
0.600000,0,RR_2,-0.35376069,-0.33662102,0.07031315
0.620000,0,RR_2,-0.35050347,-0.33326501,0.07058632
0.640000,0,RR_2,-0.34729743,-0.32888347,0.07088467
0.660000,0,RR_2,-0.34404835,-0.32534933,0.07134095
0.680000,0,RR_2,-0.34110695,-0.32183707,0.07182957
0.700000,0,RR_2,-0.33820730,-0.31745195,0.07241005
0.720000,0,RR_2,-0.33565128,-0.31337112,0.07303360
0.740000,0,RR_2,-0.33341360,-0.30939040,0.07369290
0.760000,0,RR_2,-0.33140197,-0.30495995,0.07444703
0.780000,0,RR_2,-0.32958320,-0.30121118,0.07520183
0.800000,0,RR_2,-0.32833645,-0.29741773,0.07593411
0.820000,0,RR_2,-0.32741508,-0.29324505,0.07675136
0.840000,0,RR_2,-0.32638341,-0.29023376,0.07747971
0.860000,0,RR_2,-0.32577413,-0.28725344,0.07817439
0.880000,0,RR_2,-0.32536697,-0.28346962,0.07906511
0.900000,0,RR_2,-0.32459044,-0.28042498,0.07993381
0.920000,0,RR_2,-0.32400620,-0.27724090,0.08086108
0.940000,0,RR_2,-0.32351452,-0.27326757,0.08206473
0.960000,0,RR_2,-0.32246467,-0.27112219,0.08290254
0.980000,0,RR_2,-0.32201442,-0.26919153,0.08358947
1.000000,0,RR_2,-0.32195702,-0.26626375,0.08456346
1.020000,0,RR_2,-0.32176989,-0.26237151,0.08596975
1.040000,0,RR_2,-0.32164621,-0.25873879,0.08736867
1.060000,0,RR_2,-0.32166222,-0.25521016,0.08879495
1.080000,0,RR_2,-0.32222581,-0.25229591,0.08995285
1.100000,0,RR_2,-0.32256389,-0.24967040,0.09108179
1.120000,0,RR_2,-0.32360163,-0.24616219,0.09258951
1.140000,0,RR_2,-0.32418659,-0.24482757,0.09316426
1.160000,0,RR_2,-0.32491830,-0.24381380,0.09357141
1.180000,0,RR_2,-0.32667181,-0.24156250,0.09450022
1.200000,0,RR_2,-0.32799834,-0.23912443,0.09564842
1.220000,0,RR_2,-0.32945257,-0.23602483,0.09722975
1.240000,0,RR_2,-0.33036208,-0.23487504,0.09779969
1.260000,0,RR_2,-0.33142734,-0.23395494,0.09823017
1.280000,0,RR_2,-0.33336213,-0.23188236,0.09929745
1.300000,0,RR_2,-0.33458388,-0.23107842,0.09968056
1.320000,0,RR_2,-0.33618087,-0.22994305,0.10025529
1.340000,0,RR_2,-0.33827245,-0.22783841,0.10145999
1.360000,0,RR_2,-0.33938432,-0.22737536,0.10167871
1.380000,0,RR_2,-0.34114304,-0.22663571,0.10204259
1.400000,0,RR_2,-0.34324023,-0.22492664,0.10308622
